Customer Age,Customer Gender,Product Purchased,Ticket Priority,Ticket Status,Ticket Type,Customer Satisfaction Rating,Customer Gender Encoded,Product Purchased Encoded,Ticket Priority Encoded,Ticket Status Encoded,Ticket Type Encoded
54,Male,Bose SoundLink Speaker,High,Pending Customer Response,Refund request,2,1,7,1,2,3
40,Female,Autodesk AutoCAD,Low,Open,Product inquiry,2,0,5,2,1,2
61,Other,Amazon Kindle,Medium,Closed,Billing inquiry,2,2,2,3,0,0
37,Male,Samsung Galaxy,High,Pending Customer Response,Refund request,2,1,35,1,2,3
24,Female,Canon DSLR Camera,Medium,Closed,Technical issue,0,0,8,3,0,4
60,Male,Bose SoundLink Speaker,Medium,Closed,Refund request,1,1,7,3,0,3
45,Other,LG Smart TV,Critical,Open,Cancellation request,2,2,21,0,1,1
38,Male,Nest Thermostat,High,Open,Refund request,2,1,28,1,1,3
52,Female,Samsung Galaxy,Medium,Pending Customer Response,Product inquiry,2,0,35,3,2,2
31,Female,Samsung Soundbar,Medium,Closed,Billing inquiry,0,0,36,3,0,0
67,Female,LG Washing Machine,Low,Open,Technical issue,2,0,22,2,1,4
35,Female,PlayStation,Medium,Pending Customer Response,Product inquiry,2,0,33,3,2,2
42,Female,Adobe Photoshop,Medium,Pending Customer Response,Refund request,2,0,0,3,2,3
30,Female,Bose QuietComfort,Medium,Closed,Billing inquiry,2,0,6,3,0,0
23,Female,Google Nest,High,Open,Product inquiry,2,0,17,1,1,2
19,Male,Amazon Echo,Critical,Closed,Billing inquiry,0,1,1,0,0,0
27,Other,Xbox,High,Pending Customer Response,Cancellation request,2,2,40,1,2,1
20,Female,Canon DSLR Camera,High,Pending Customer Response,Refund request,2,0,8,1,2,3
20,Other,Microsoft Surface,Critical,Pending Customer Response,Technical issue,2,2,26,0,2,4
59,Other,LG OLED,High,Pending Customer Response,Billing inquiry,2,2,20,1,2,0
37,Female,Amazon Echo,High,Pending Customer Response,Refund request,2,0,1,1,2,3
20,Female,Google Nest,High,Open,Product inquiry,2,0,17,1,1,2
44,Female,iPhone,High,Pending Customer Response,Product inquiry,2,0,41,1,2,2
63,Other,LG Washing Machine,High,Open,Product inquiry,2,2,22,1,1,2
27,Female,Nintendo Switch Pro Controller,Medium,Open,Technical issue,2,0,31,3,1,4
59,Male,LG Smart TV,High,Closed,Refund request,1,1,21,1,0,3
28,Male,Adobe Photoshop,Low,Closed,Product inquiry,2,1,0,2,0,2
66,Female,Google Nest,Low,Open,Billing inquiry,2,0,17,2,1,0
63,Male,Nikon D,Low,Closed,Technical issue,0,1,29,2,0,4
49,Male,Amazon Echo,High,Open,Billing inquiry,2,1,1,1,1,0
47,Male,Microsoft Xbox Controller,Medium,Open,Product inquiry,2,1,27,3,1,2
59,Female,LG OLED,Low,Open,Product inquiry,2,0,20,2,1,2
39,Female,Philips Hue Lights,High,Closed,Technical issue,1,0,32,1,0,4
34,Other,Garmin Forerunner,Low,Open,Technical issue,2,2,14,2,1,4
19,Female,Fitbit Charge,Critical,Pending Customer Response,Billing inquiry,2,0,12,0,2,0
57,Male,Nikon D,Medium,Pending Customer Response,Billing inquiry,2,1,29,3,2,0
33,Female,Fitbit Charge,Low,Open,Product inquiry,2,0,12,2,1,2
69,Female,Nest Thermostat,High,Pending Customer Response,Billing inquiry,2,0,28,1,2,0
37,Other,Dell XPS,High,Pending Customer Response,Billing inquiry,2,2,10,1,2,0
30,Other,Sony PlayStation,Low,Closed,Product inquiry,0,2,38,2,0,2
64,Other,Samsung Soundbar,Critical,Pending Customer Response,Refund request,2,2,36,0,2,3
66,Male,PlayStation,Medium,Closed,Billing inquiry,0,1,33,3,0,0
68,Female,Bose SoundLink Speaker,Medium,Closed,Refund request,2,0,7,3,0,3
66,Female,Apple AirPods,Medium,Open,Technical issue,2,0,3,3,1,4
41,Male,LG OLED,Critical,Pending Customer Response,Technical issue,2,1,20,0,2,4
28,Female,Philips Hue Lights,Medium,Closed,Billing inquiry,0,0,32,3,0,0
57,Male,Garmin Forerunner,High,Pending Customer Response,Technical issue,2,1,14,1,2,4
67,Other,Samsung Galaxy,Medium,Pending Customer Response,Billing inquiry,2,2,35,3,2,0
40,Other,Fitbit Charge,Low,Open,Billing inquiry,2,2,12,2,1,0
56,Other,Canon DSLR Camera,Medium,Pending Customer Response,Technical issue,2,2,8,3,2,4
25,Other,Sony PlayStation,High,Pending Customer Response,Cancellation request,2,2,38,1,2,1
60,Male,Nikon D,Critical,Closed,Cancellation request,0,1,29,0,0,1
47,Female,Philips Hue Lights,High,Pending Customer Response,Technical issue,2,0,32,1,2,4
66,Female,Asus ROG,Low,Pending Customer Response,Technical issue,2,0,4,2,2,4
61,Male,Garmin Forerunner,High,Open,Billing inquiry,2,1,14,1,1,0
55,Other,Asus ROG,Critical,Closed,Refund request,1,2,4,0,0,3
42,Male,Nintendo Switch Pro Controller,Medium,Open,Cancellation request,2,1,31,3,1,1
33,Female,Fitbit Versa Smartwatch,Critical,Open,Cancellation request,2,0,13,0,1,1
24,Male,LG OLED,High,Open,Product inquiry,2,1,20,1,1,2
39,Male,LG Smart TV,Critical,Closed,Cancellation request,0,1,21,0,0,1
48,Other,Google Pixel,Medium,Open,Cancellation request,2,2,18,3,1,1
23,Female,Nintendo Switch Pro Controller,Medium,Open,Cancellation request,2,0,31,3,1,1
40,Male,Canon EOS,Critical,Open,Technical issue,2,1,9,0,1,4
60,Female,Roomba Robot Vacuum,Low,Pending Customer Response,Refund request,2,0,34,2,2,3
35,Male,Bose QuietComfort,Critical,Pending Customer Response,Refund request,2,1,6,0,2,3
67,Other,Nikon D,High,Pending Customer Response,Refund request,2,2,29,1,2,3
52,Male,Dyson Vacuum Cleaner,Medium,Open,Product inquiry,2,1,11,3,1,2
35,Female,Dyson Vacuum Cleaner,Low,Open,Technical issue,2,0,11,2,1,4
66,Other,Google Pixel,Critical,Pending Customer Response,Technical issue,2,2,18,0,2,4
60,Female,Nest Thermostat,High,Pending Customer Response,Technical issue,2,0,28,1,2,4
62,Other,LG OLED,High,Closed,Billing inquiry,2,2,20,1,0,0
22,Male,Amazon Echo,Critical,Open,Refund request,2,1,1,0,1,3
23,Female,LG OLED,Low,Open,Billing inquiry,2,0,20,2,1,0
60,Male,Fitbit Charge,High,Pending Customer Response,Refund request,2,1,12,1,2,3
59,Female,Sony Xperia,Low,Pending Customer Response,Technical issue,2,0,39,2,2,4
49,Male,Lenovo ThinkPad,Critical,Pending Customer Response,Refund request,2,1,23,0,2,3
49,Female,Samsung Galaxy,High,Pending Customer Response,Product inquiry,2,0,35,1,2,2
40,Male,Garmin Forerunner,Medium,Open,Technical issue,2,1,14,3,1,4
29,Female,Sony 4K HDR TV,Critical,Closed,Product inquiry,2,0,37,0,0,2
30,Female,Samsung Soundbar,Medium,Pending Customer Response,Cancellation request,2,0,36,3,2,1
44,Male,Roomba Robot Vacuum,High,Open,Cancellation request,2,1,34,1,1,1
70,Other,Nest Thermostat,Medium,Pending Customer Response,Product inquiry,2,2,28,3,2,2
49,Female,Autodesk AutoCAD,Low,Open,Billing inquiry,2,0,5,2,1,0
61,Male,Canon DSLR Camera,Medium,Closed,Cancellation request,1,1,8,3,0,1
48,Female,Asus ROG,Critical,Closed,Billing inquiry,2,0,4,0,0,0
64,Female,Apple AirPods,Critical,Open,Refund request,2,0,3,0,1,3
59,Female,Autodesk AutoCAD,Medium,Open,Refund request,2,0,5,3,1,3
25,Other,Apple AirPods,High,Pending Customer Response,Technical issue,2,2,3,1,2,4
61,Female,Microsoft Xbox Controller,Medium,Open,Cancellation request,2,0,27,3,1,1
41,Female,PlayStation,Medium,Pending Customer Response,Cancellation request,2,0,33,3,2,1
49,Female,Fitbit Charge,Medium,Pending Customer Response,Product inquiry,2,0,12,3,2,2
61,Male,Nest Thermostat,Medium,Pending Customer Response,Billing inquiry,2,1,28,3,2,0
18,Other,Fitbit Versa Smartwatch,High,Pending Customer Response,Billing inquiry,2,2,13,1,2,0
41,Male,Amazon Kindle,High,Open,Product inquiry,2,1,2,1,1,2
30,Female,HP Pavilion,Critical,Pending Customer Response,Technical issue,2,0,19,0,2,4
41,Female,Dyson Vacuum Cleaner,Medium,Pending Customer Response,Technical issue,2,0,11,3,2,4
49,Male,Xbox,Critical,Open,Refund request,2,1,40,0,1,3
55,Other,Philips Hue Lights,Medium,Open,Technical issue,2,2,32,3,1,4
68,Other,Nintendo Switch,Medium,Pending Customer Response,Refund request,2,2,30,3,2,3
41,Male,LG Washing Machine,Critical,Open,Refund request,2,1,22,0,1,3
39,Male,Amazon Echo,Critical,Open,Product inquiry,2,1,1,0,1,2
21,Male,Canon DSLR Camera,Critical,Pending Customer Response,Technical issue,2,1,8,0,2,4
52,Other,Microsoft Office,High,Open,Product inquiry,2,2,25,1,1,2
32,Female,Nintendo Switch,Low,Pending Customer Response,Cancellation request,2,0,30,2,2,1
37,Female,Asus ROG,Medium,Open,Technical issue,2,0,4,3,1,4
25,Male,Microsoft Surface,Low,Open,Refund request,2,1,26,2,1,3
38,Male,Nikon D,Critical,Open,Refund request,2,1,29,0,1,3
61,Female,LG OLED,Low,Open,Billing inquiry,2,0,20,2,1,0
45,Male,Xbox,Critical,Pending Customer Response,Technical issue,2,1,40,0,2,4
22,Male,MacBook Pro,High,Closed,Cancellation request,2,1,24,1,0,1
68,Male,Samsung Soundbar,High,Open,Cancellation request,2,1,36,1,1,1
64,Other,MacBook Pro,Low,Closed,Refund request,2,2,24,2,0,3
43,Male,HP Pavilion,Medium,Open,Billing inquiry,2,1,19,3,1,0
53,Other,Microsoft Surface,High,Closed,Technical issue,2,2,26,1,0,4
68,Male,Amazon Echo,Medium,Pending Customer Response,Refund request,2,1,1,3,2,3
63,Other,Amazon Echo,High,Closed,Refund request,2,2,1,1,0,3
43,Female,Google Nest,Critical,Pending Customer Response,Billing inquiry,2,0,17,0,2,0
36,Other,Philips Hue Lights,Critical,Open,Refund request,2,2,32,0,1,3
22,Female,Fitbit Versa Smartwatch,Medium,Open,Product inquiry,2,0,13,3,1,2
46,Female,Google Nest,High,Closed,Billing inquiry,2,0,17,1,0,0
68,Female,Xbox,Medium,Pending Customer Response,Product inquiry,2,0,40,3,2,2
35,Male,Amazon Kindle,Critical,Open,Refund request,2,1,2,0,1,3
21,Male,Sony PlayStation,Critical,Closed,Cancellation request,1,1,38,0,0,1
48,Other,Fitbit Charge,Medium,Pending Customer Response,Technical issue,2,2,12,3,2,4
32,Other,Dell XPS,Medium,Pending Customer Response,Billing inquiry,2,2,10,3,2,0
58,Other,Nikon D,Critical,Closed,Technical issue,2,2,29,0,0,4
31,Female,Asus ROG,Medium,Open,Product inquiry,2,0,4,3,1,2
63,Male,Xbox,Critical,Pending Customer Response,Refund request,2,1,40,0,2,3
32,Male,Sony Xperia,High,Open,Product inquiry,2,1,39,1,1,2
41,Female,Adobe Photoshop,Critical,Pending Customer Response,Product inquiry,2,0,0,0,2,2
34,Other,iPhone,Critical,Closed,Refund request,2,2,41,0,0,3
56,Female,Lenovo ThinkPad,Critical,Pending Customer Response,Product inquiry,2,0,23,0,2,2
33,Female,LG Smart TV,Medium,Open,Technical issue,2,0,21,3,1,4
33,Male,Nikon D,High,Closed,Product inquiry,2,1,29,1,0,2
67,Female,Sony Xperia,High,Pending Customer Response,Cancellation request,2,0,39,1,2,1
38,Female,Google Nest,Critical,Pending Customer Response,Billing inquiry,2,0,17,0,2,0
33,Female,Lenovo ThinkPad,Medium,Pending Customer Response,Technical issue,2,0,23,3,2,4
60,Other,LG Smart TV,Low,Closed,Refund request,2,2,21,2,0,3
67,Female,Amazon Kindle,Medium,Pending Customer Response,Cancellation request,2,0,2,3,2,1
34,Female,Microsoft Office,Medium,Closed,Cancellation request,2,0,25,3,0,1
53,Female,LG Smart TV,Low,Pending Customer Response,Refund request,2,0,21,2,2,3
21,Male,MacBook Pro,Low,Open,Billing inquiry,2,1,24,2,1,0
48,Other,LG OLED,High,Closed,Cancellation request,1,2,20,1,0,1
26,Female,Canon DSLR Camera,High,Pending Customer Response,Product inquiry,2,0,8,1,2,2
45,Male,Google Nest,Critical,Closed,Refund request,1,1,17,0,0,3
31,Male,Xbox,Medium,Closed,Product inquiry,1,1,40,3,0,2
49,Other,Microsoft Surface,Medium,Pending Customer Response,Technical issue,2,2,26,3,2,4
23,Female,MacBook Pro,Critical,Pending Customer Response,Billing inquiry,2,0,24,0,2,0
66,Male,Amazon Echo,Medium,Closed,Cancellation request,2,1,1,3,0,1
18,Female,Nintendo Switch Pro Controller,Critical,Closed,Billing inquiry,2,0,31,0,0,0
31,Other,Microsoft Surface,High,Open,Billing inquiry,2,2,26,1,1,0
22,Female,LG Smart TV,Medium,Closed,Product inquiry,0,0,21,3,0,2
27,Other,Amazon Echo,Medium,Closed,Technical issue,0,2,1,3,0,4
20,Female,Apple AirPods,High,Open,Billing inquiry,2,0,3,1,1,0
46,Female,Dell XPS,Medium,Closed,Refund request,0,0,10,3,0,3
54,Female,PlayStation,High,Pending Customer Response,Refund request,2,0,33,1,2,3
67,Female,Fitbit Versa Smartwatch,High,Open,Product inquiry,2,0,13,1,1,2
45,Male,Microsoft Surface,Low,Closed,Product inquiry,2,1,26,2,0,2
53,Other,Microsoft Xbox Controller,Medium,Open,Technical issue,2,2,27,3,1,4
36,Male,Nikon D,Critical,Pending Customer Response,Refund request,2,1,29,0,2,3
31,Male,Google Nest,Medium,Pending Customer Response,Refund request,2,1,17,3,2,3
69,Other,Bose QuietComfort,High,Open,Product inquiry,2,2,6,1,1,2
36,Male,Bose QuietComfort,Low,Pending Customer Response,Billing inquiry,2,1,6,2,2,0
67,Male,Fitbit Versa Smartwatch,Low,Closed,Refund request,1,1,13,2,0,3
49,Other,MacBook Pro,Critical,Open,Technical issue,2,2,24,0,1,4
50,Female,Asus ROG,High,Open,Technical issue,2,0,4,1,1,4
58,Male,MacBook Pro,Low,Pending Customer Response,Billing inquiry,2,1,24,2,2,0
60,Male,Garmin Forerunner,Critical,Pending Customer Response,Refund request,2,1,14,0,2,3
38,Female,Apple AirPods,High,Open,Product inquiry,2,0,3,1,1,2
22,Other,Bose QuietComfort,Critical,Pending Customer Response,Refund request,2,2,6,0,2,3
21,Male,GoPro Action Camera,Medium,Pending Customer Response,Cancellation request,2,1,15,3,2,1
65,Male,Dyson Vacuum Cleaner,Medium,Open,Billing inquiry,2,1,11,3,1,0
38,Female,Nintendo Switch Pro Controller,High,Closed,Technical issue,1,0,31,1,0,4
57,Female,Sony Xperia,High,Open,Technical issue,2,0,39,1,1,4
21,Female,Microsoft Office,Low,Pending Customer Response,Product inquiry,2,0,25,2,2,2
36,Female,LG Washing Machine,Low,Closed,Refund request,0,0,22,2,0,3
19,Other,LG Washing Machine,Medium,Closed,Cancellation request,1,2,22,3,0,1
41,Male,Dell XPS,Critical,Closed,Cancellation request,2,1,10,0,0,1
32,Female,Amazon Kindle,Low,Pending Customer Response,Technical issue,2,0,2,2,2,4
54,Female,GoPro Action Camera,Critical,Closed,Product inquiry,0,0,15,0,0,2
40,Male,Amazon Kindle,Medium,Open,Product inquiry,2,1,2,3,1,2
44,Male,iPhone,Critical,Pending Customer Response,Billing inquiry,2,1,41,0,2,0
28,Female,Bose QuietComfort,Low,Closed,Product inquiry,2,0,6,2,0,2
54,Female,Google Nest,High,Open,Technical issue,2,0,17,1,1,4
27,Female,Samsung Galaxy,Critical,Open,Refund request,2,0,35,0,1,3
41,Female,Bose SoundLink Speaker,Low,Pending Customer Response,Product inquiry,2,0,7,2,2,2
38,Other,GoPro Action Camera,Critical,Closed,Cancellation request,1,2,15,0,0,1
65,Other,Dell XPS,Critical,Closed,Billing inquiry,0,2,10,0,0,0
47,Male,LG OLED,Low,Open,Refund request,2,1,20,2,1,3
21,Other,Philips Hue Lights,High,Open,Refund request,2,2,32,1,1,3
50,Female,Canon EOS,Critical,Closed,Technical issue,2,0,9,0,0,4
28,Male,LG Smart TV,High,Pending Customer Response,Billing inquiry,2,1,21,1,2,0
28,Female,Microsoft Office,High,Closed,Product inquiry,0,0,25,1,0,2
44,Male,MacBook Pro,Low,Open,Refund request,2,1,24,2,1,3
64,Male,Google Pixel,Critical,Open,Billing inquiry,2,1,18,0,1,0
30,Other,Samsung Soundbar,Critical,Open,Cancellation request,2,2,36,0,1,1
65,Other,MacBook Pro,High,Open,Billing inquiry,2,2,24,1,1,0
27,Male,Google Nest,Medium,Pending Customer Response,Billing inquiry,2,1,17,3,2,0
23,Other,Sony 4K HDR TV,Critical,Pending Customer Response,Refund request,2,2,37,0,2,3
62,Other,LG Washing Machine,Low,Pending Customer Response,Billing inquiry,2,2,22,2,2,0
25,Female,GoPro Action Camera,Medium,Closed,Refund request,1,0,15,3,0,3
61,Female,Garmin Forerunner,High,Pending Customer Response,Refund request,2,0,14,1,2,3
69,Female,Canon EOS,Medium,Closed,Product inquiry,2,0,9,3,0,2
22,Female,LG Washing Machine,High,Closed,Billing inquiry,2,0,22,1,0,0
28,Female,Dyson Vacuum Cleaner,Low,Open,Product inquiry,2,0,11,2,1,2
63,Female,Dyson Vacuum Cleaner,Critical,Pending Customer Response,Product inquiry,2,0,11,0,2,2
48,Female,Canon EOS,Critical,Pending Customer Response,Product inquiry,2,0,9,0,2,2
58,Male,Google Pixel,Low,Pending Customer Response,Product inquiry,2,1,18,2,2,2
54,Male,Microsoft Xbox Controller,Medium,Closed,Billing inquiry,2,1,27,3,0,0
49,Male,Philips Hue Lights,High,Open,Technical issue,2,1,32,1,1,4
44,Other,Adobe Photoshop,Low,Closed,Billing inquiry,2,2,0,2,0,0
56,Other,Sony 4K HDR TV,Low,Open,Billing inquiry,2,2,37,2,1,0
67,Male,Apple AirPods,Critical,Open,Product inquiry,2,1,3,0,1,2
49,Other,PlayStation,Low,Open,Refund request,2,2,33,2,1,3
49,Female,LG Washing Machine,Low,Closed,Product inquiry,2,0,22,2,0,2
42,Female,Nikon D,High,Pending Customer Response,Cancellation request,2,0,29,1,2,1
54,Other,Lenovo ThinkPad,Critical,Open,Technical issue,2,2,23,0,1,4
37,Female,Nest Thermostat,Medium,Open,Billing inquiry,2,0,28,3,1,0
22,Female,PlayStation,Medium,Pending Customer Response,Product inquiry,2,0,33,3,2,2
51,Other,HP Pavilion,Medium,Pending Customer Response,Billing inquiry,2,2,19,3,2,0
56,Female,Google Pixel,Critical,Pending Customer Response,Refund request,2,0,18,0,2,3
54,Male,Fitbit Charge,Low,Closed,Refund request,2,1,12,2,0,3
66,Other,Google Pixel,High,Pending Customer Response,Product inquiry,2,2,18,1,2,2
63,Other,LG Washing Machine,Low,Pending Customer Response,Product inquiry,2,2,22,2,2,2
46,Female,Philips Hue Lights,High,Open,Cancellation request,2,0,32,1,1,1
30,Male,Google Pixel,High,Closed,Billing inquiry,0,1,18,1,0,0
62,Other,iPhone,Low,Open,Product inquiry,2,2,41,2,1,2
50,Female,Nikon D,High,Closed,Product inquiry,2,0,29,1,0,2
41,Female,Nikon D,High,Open,Cancellation request,2,0,29,1,1,1
37,Male,Samsung Galaxy,Critical,Open,Cancellation request,2,1,35,0,1,1
47,Other,Nikon D,High,Pending Customer Response,Cancellation request,2,2,29,1,2,1
31,Male,Amazon Kindle,High,Open,Refund request,2,1,2,1,1,3
38,Female,Nintendo Switch,Medium,Closed,Refund request,2,0,30,3,0,3
40,Male,LG Smart TV,Medium,Open,Billing inquiry,2,1,21,3,1,0
46,Other,iPhone,High,Open,Billing inquiry,2,2,41,1,1,0
32,Female,Google Nest,Low,Closed,Refund request,0,0,17,2,0,3
28,Other,LG Smart TV,Medium,Pending Customer Response,Cancellation request,2,2,21,3,2,1
24,Female,MacBook Pro,High,Open,Cancellation request,2,0,24,1,1,1
59,Male,GoPro Hero,High,Open,Cancellation request,2,1,16,1,1,1
48,Other,LG Washing Machine,Low,Pending Customer Response,Refund request,2,2,22,2,2,3
66,Female,Sony 4K HDR TV,Medium,Pending Customer Response,Product inquiry,2,0,37,3,2,2
49,Female,Microsoft Xbox Controller,Medium,Closed,Billing inquiry,2,0,27,3,0,0
24,Female,Roomba Robot Vacuum,Critical,Open,Technical issue,2,0,34,0,1,4
26,Other,Bose QuietComfort,Critical,Pending Customer Response,Cancellation request,2,2,6,0,2,1
36,Other,Dyson Vacuum Cleaner,Medium,Pending Customer Response,Billing inquiry,2,2,11,3,2,0
60,Other,Asus ROG,Low,Closed,Cancellation request,2,2,4,2,0,1
49,Male,iPhone,Critical,Open,Billing inquiry,2,1,41,0,1,0
28,Other,Dell XPS,Medium,Closed,Billing inquiry,1,2,10,3,0,0
34,Male,Nest Thermostat,Critical,Pending Customer Response,Product inquiry,2,1,28,0,2,2
35,Male,Nikon D,Low,Pending Customer Response,Billing inquiry,2,1,29,2,2,0
53,Female,Philips Hue Lights,Medium,Closed,Product inquiry,2,0,32,3,0,2
36,Female,Amazon Kindle,Critical,Open,Refund request,2,0,2,0,1,3
19,Other,Bose SoundLink Speaker,Medium,Open,Cancellation request,2,2,7,3,1,1
67,Male,Google Nest,High,Pending Customer Response,Product inquiry,2,1,17,1,2,2
21,Other,Microsoft Xbox Controller,Medium,Closed,Cancellation request,2,2,27,3,0,1
51,Female,Samsung Soundbar,Medium,Closed,Technical issue,0,0,36,3,0,4
35,Female,Amazon Kindle,Low,Pending Customer Response,Cancellation request,2,0,2,2,2,1
24,Other,MacBook Pro,Medium,Pending Customer Response,Refund request,2,2,24,3,2,3
27,Other,Fitbit Versa Smartwatch,Medium,Pending Customer Response,Product inquiry,2,2,13,3,2,2
63,Male,Amazon Kindle,High,Closed,Refund request,1,1,2,1,0,3
59,Male,Amazon Echo,High,Open,Technical issue,2,1,1,1,1,4
21,Other,LG Washing Machine,Medium,Open,Refund request,2,2,22,3,1,3
67,Other,Sony Xperia,Critical,Open,Refund request,2,2,39,0,1,3
29,Female,Sony 4K HDR TV,High,Closed,Technical issue,1,0,37,1,0,4
44,Female,GoPro Hero,Critical,Closed,Billing inquiry,2,0,16,0,0,0
52,Female,Sony Xperia,Critical,Open,Technical issue,2,0,39,0,1,4
61,Other,Nikon D,High,Open,Technical issue,2,2,29,1,1,4
50,Female,LG Smart TV,Medium,Pending Customer Response,Cancellation request,2,0,21,3,2,1
64,Other,GoPro Hero,Low,Open,Cancellation request,2,2,16,2,1,1
53,Female,Sony 4K HDR TV,High,Closed,Refund request,0,0,37,1,0,3
67,Male,Autodesk AutoCAD,High,Closed,Billing inquiry,1,1,5,1,0,0
31,Male,Lenovo ThinkPad,Critical,Pending Customer Response,Refund request,2,1,23,0,2,3
26,Female,Dyson Vacuum Cleaner,Critical,Pending Customer Response,Technical issue,2,0,11,0,2,4
70,Male,Sony Xperia,Critical,Closed,Cancellation request,2,1,39,0,0,1
61,Other,Philips Hue Lights,Low,Closed,Product inquiry,2,2,32,2,0,2
34,Male,Amazon Echo,Critical,Pending Customer Response,Technical issue,2,1,1,0,2,4
60,Female,Sony PlayStation,High,Closed,Technical issue,1,0,38,1,0,4
54,Other,Samsung Soundbar,Medium,Closed,Refund request,2,2,36,3,0,3
39,Male,Samsung Soundbar,High,Open,Product inquiry,2,1,36,1,1,2
40,Female,Nikon D,Medium,Closed,Technical issue,2,0,29,3,0,4
63,Male,Samsung Soundbar,Medium,Open,Product inquiry,2,1,36,3,1,2
26,Male,Samsung Galaxy,Low,Open,Refund request,2,1,35,2,1,3
26,Male,Garmin Forerunner,Critical,Open,Product inquiry,2,1,14,0,1,2
43,Other,Nikon D,Critical,Open,Technical issue,2,2,29,0,1,4
50,Other,Nintendo Switch,Medium,Closed,Technical issue,1,2,30,3,0,4
21,Female,Adobe Photoshop,High,Open,Refund request,2,0,0,1,1,3
63,Other,Bose QuietComfort,High,Open,Cancellation request,2,2,6,1,1,1
52,Female,Nikon D,Low,Pending Customer Response,Refund request,2,0,29,2,2,3
23,Female,Microsoft Office,High,Pending Customer Response,Refund request,2,0,25,1,2,3
23,Male,Canon DSLR Camera,Low,Open,Billing inquiry,2,1,8,2,1,0
51,Male,Asus ROG,Critical,Open,Refund request,2,1,4,0,1,3
68,Male,Amazon Kindle,Medium,Open,Cancellation request,2,1,2,3,1,1
54,Male,iPhone,High,Closed,Technical issue,1,1,41,1,0,4
59,Other,Amazon Kindle,Medium,Closed,Product inquiry,0,2,2,3,0,2
42,Male,LG Smart TV,Low,Closed,Product inquiry,2,1,21,2,0,2
61,Male,LG Washing Machine,Critical,Closed,Technical issue,0,1,22,0,0,4
32,Male,PlayStation,Medium,Pending Customer Response,Technical issue,2,1,33,3,2,4
18,Male,Xbox,Critical,Closed,Billing inquiry,2,1,40,0,0,0
70,Other,Google Nest,High,Open,Refund request,2,2,17,1,1,3
25,Other,MacBook Pro,High,Closed,Product inquiry,1,2,24,1,0,2
48,Female,Amazon Echo,High,Closed,Cancellation request,1,0,1,1,0,1
55,Male,Microsoft Office,High,Open,Cancellation request,2,1,25,1,1,1
54,Male,Philips Hue Lights,High,Closed,Billing inquiry,1,1,32,1,0,0
22,Male,Dell XPS,Critical,Pending Customer Response,Refund request,2,1,10,0,2,3
47,Male,Google Pixel,High,Pending Customer Response,Technical issue,2,1,18,1,2,4
59,Male,MacBook Pro,High,Pending Customer Response,Refund request,2,1,24,1,2,3
54,Male,Roomba Robot Vacuum,High,Pending Customer Response,Cancellation request,2,1,34,1,2,1
64,Female,Sony PlayStation,High,Open,Cancellation request,2,0,38,1,1,1
41,Female,Canon EOS,Low,Open,Product inquiry,2,0,9,2,1,2
58,Female,Samsung Soundbar,Medium,Closed,Cancellation request,1,0,36,3,0,1
57,Other,LG OLED,High,Closed,Refund request,0,2,20,1,0,3
70,Male,Canon EOS,Low,Open,Cancellation request,2,1,9,2,1,1
24,Female,Adobe Photoshop,Low,Pending Customer Response,Product inquiry,2,0,0,2,2,2
32,Other,Fitbit Charge,Medium,Pending Customer Response,Technical issue,2,2,12,3,2,4
59,Other,Dell XPS,Critical,Closed,Product inquiry,0,2,10,0,0,2
56,Other,Amazon Echo,Low,Open,Cancellation request,2,2,1,2,1,1
26,Female,Sony 4K HDR TV,Medium,Pending Customer Response,Refund request,2,0,37,3,2,3
38,Other,Roomba Robot Vacuum,Critical,Closed,Technical issue,1,2,34,0,0,4
32,Female,Dell XPS,Critical,Pending Customer Response,Billing inquiry,2,0,10,0,2,0
48,Male,PlayStation,Low,Closed,Billing inquiry,2,1,33,2,0,0
63,Female,LG Washing Machine,Low,Pending Customer Response,Product inquiry,2,0,22,2,2,2
21,Male,Canon EOS,Medium,Closed,Product inquiry,0,1,9,3,0,2
69,Male,Samsung Galaxy,Critical,Open,Billing inquiry,2,1,35,0,1,0
67,Male,PlayStation,Low,Open,Technical issue,2,1,33,2,1,4
52,Male,Bose QuietComfort,Low,Closed,Technical issue,0,1,6,2,0,4
21,Other,Nikon D,Low,Pending Customer Response,Refund request,2,2,29,2,2,3
43,Female,LG Smart TV,Critical,Open,Billing inquiry,2,0,21,0,1,0
34,Male,Autodesk AutoCAD,Critical,Pending Customer Response,Cancellation request,2,1,5,0,2,1
60,Other,Dell XPS,Low,Closed,Refund request,0,2,10,2,0,3
45,Male,Canon DSLR Camera,Low,Pending Customer Response,Technical issue,2,1,8,2,2,4
37,Female,Nest Thermostat,Medium,Pending Customer Response,Product inquiry,2,0,28,3,2,2
40,Male,Sony PlayStation,Low,Pending Customer Response,Refund request,2,1,38,2,2,3
60,Male,Philips Hue Lights,High,Open,Product inquiry,2,1,32,1,1,2
65,Female,Microsoft Xbox Controller,Critical,Closed,Refund request,2,0,27,0,0,3
69,Female,Nintendo Switch Pro Controller,Critical,Open,Billing inquiry,2,0,31,0,1,0
27,Male,Amazon Kindle,Medium,Pending Customer Response,Product inquiry,2,1,2,3,2,2
44,Female,Apple AirPods,Low,Pending Customer Response,Cancellation request,2,0,3,2,2,1
